page_number,is_bold,is_italic,is_underline,is_all_caps,word_count,norm_font_size,font,font_size,x0,y0,x1,y1,space_above,space_below,space_left,space_right,text
1,0,0,1,0,21,9,FormataOTF-Reg,6.973800182342529,36.17,64.39,444.82,71.37,64.39,711.56,36.17,131.18,"Received July 28, 2019, accepted August 11, 2019, date of publication August 21, 2019, date of current version September 4, 2019."
1,0,1,1,0,4,11,GiovanniStd-BookItalic,5.97760009765625,36.17,78.02,175.23,84.0,78.02,698.93,36.17,400.77,Digital Object Identifier 10.1109/ACCESS.2019.2936575
1,0,0,1,0,11,1,FormataOTFCond-Md,21.917800903320312,36.17,111.71,355.71,184.24,111.71,598.69,36.17,220.29,A Traceable Blockchain-Based Access Authentication System With Privacy Preservation in VANETs
1,0,0,1,1,15,3,FormataOTFMd,9.86299991607666,36.17,200.92,416.94,210.79,200.92,572.14,36.17,159.06,"DONG ZHENG , CHUNMING JING , RUI GUO , SHIYAO GAO , AND LIANG WANG"
1,0,0,1,0,28,10,TimesLTStd-Roman,6.575300216674805,36.67,211.3,376.94,225.85,211.3,557.08,36.67,199.06,"School of Cyberspace Security, Xi’an University of Posts and Telecommunications, Xi’an 710121, China National Engineering Laboratory for Wireless Security, Xi’an University of Posts and Telecommunications, Xi’an 710121, China"
1,0,0,1,0,79,6,TimesLTStd-Roman,7.671199798583984,36.17,230.48,462.61,280.65,230.48,502.28,36.17,113.39,"Corresponding author: Chunming Jing (chunmingjing@126.com) This work was supported in part by the Natural Science Foundation of China under Grant 61802303, Grant 61772418, and Grant 61602378, in part by the Key Research and Development Program of Shaanxi under Grant 2019KW-053, in part by the Innovation Ability Support Program in Shaanxi Province of China under Grant 2017KJXX-47, and in part by the Natural Science Basic Research Plan in Shaanxi Province of China under Grant 2019JQ-866, Grant 2018JZ6001, and Grant 2016JM6033."
1,1,0,1,0,15,2,FormataOTF-Bold,9.962599754333496,43.42,310.56,469.86,320.62,310.56,462.31,43.42,106.14,ABSTRACT The vehicular ad-hoc networks (VANETs) is one of the most promising application in the
1,0,0,1,0,233,2,TimesLTStd-Roman,9.962599754333496,43.42,322.52,469.86,511.81,322.52,271.12,43.42,106.14,"communications of smart vehicles and the smart transportation systems. However, authentication and privacy of users are still two vital issues in VANETs. It is crucial to prevent internal vehicles from broadcasting the forged messages while preserving the privacy of vehicles against the tracking attack. Moreover, in the traditional mode, the transactional data storage provides no distributed and decentralized security, so that the third party initiates the dishonest behaviors possibly. In this paper, based on blockchain technique, we propose a traceable and decentralized the Internet of Vehicle system framework for communication among smart vehicles by employing of a secure access authentication scheme between vehicles and RoadSide Units (RSUs). On the one hand, this scheme allows that vehicles employ pseudonyms for Vehicle to Vehicle (V2V) and Vehicle to Infrastructure (V2I) communications anonymously in the non-fully trusted environment. On the other hand, the transparency of vehicles in authentication and announcement is preformed efﬁciently by the blockchain technology. In addition, the transaction information is tamper- resistant that provides the distributed and decentralized property for the different cloud servers. With the help of Certiﬁcate Authority (CA) and the RoadSide Units (RSUs), our proposal achieves the conditional privacy to trace the real identity of the malicious vehicle in the anonymous announcements as well. Finally, through the theoretical analysis and simulations, our scheme is able to construct a secure and decentralized system framework of VANETs with accountability and privacy preservation."
1,1,0,1,0,7,2,FormataOTF-Bold,9.962599754333496,43.42,531.98,418.66,542.03,531.98,240.9,43.42,157.34,"INDEX TERMS Blockchain-based, privacy-preserving, authentication, traceability, VANETs."
1,1,0,1,1,2,4,FormataOTF-Bold,8.966400146484375,37.17,566.74,112.63,575.77,566.74,207.16,37.17,463.37,I. INTRODUCTION
