page_number,is_bold,is_italic,is_underline,is_all_caps,word_count,norm_font_size,font,font_size,x0,y0,x1,y1,space_above,space_below,space_left,space_right,text
1,0,0,0,0,4,1,AAAAAA+TimesNewRomanPSMT,24.0,73.33,51.1,521.95,102.69,51.1,739.31,73.33,74.05,Post-Quantum Cryptography: Securing DigitalCommunicationintheQuantumEra
1,0,0,0,0,3,3,AAAAAA+TimesNewRomanPSMT,9.0,105.53,118.04,517.64,127.04,118.04,714.96,105.53,78.36,Dr.GSMamatha RashaSinha NamyaDimri
1,0,1,0,0,3,3,BAAAAA+TimesNewRomanPS-ItalicMT,9.0,79.02,128.39,560.65,168.44,128.39,673.56,79.02,35.35,"Professor B.E.ISE B.E.ISER.V.CollegeofEngineeringR.V.CollegeofEngineeringR.V.CollegeofEngineeringBengaluru,India.PIN:560059Bengaluru,India.PIN:560059Bengaluru,India.PIN:560059Email:mamathags@rvce.edu.inEmail:rashasinha.is21@rvce.edu.inEmail:namyadimri.is21@rvce.edu.in"
1,0,0,0,0,7,2,AAAAAA+TimesNewRomanPSMT,10.0,306.35,197.9,548.94,207.9,197.9,634.1,306.35,47.06,"elucidates the principles of quantum computing, and"
1,1,0,0,0,7,3,DAAAAA+TimesNewRomanPS-BoldMT,9.0,98.85,201.64,288.13,210.64,201.64,631.36,98.85,307.87,The advent of quantum computing poses a
1,1,0,0,0,7,3,DAAAAA+TimesNewRomanPS-BoldMT,9.0,45.35,222.34,288.16,231.34,222.34,610.66,45.35,307.84,vulnerabilities that compromise the security of digital
1,0,0,0,1,5,2,AAAAAA+TimesNewRomanPSMT,10.0,321.89,249.59,491.47,259.59,249.59,582.41,321.89,104.53,II. Q C T C
1,0,0,0,1,4,5,AAAAAA+TimesNewRomanPSMT,7.0,358.77,251.94,542.66,258.94,251.94,583.06,358.77,53.34,UANTUM OMPUTING HREATSTO RYPTOGRAPHY
1,1,0,0,0,6,3,DAAAAA+TimesNewRomanPS-BoldMT,9.0,45.35,274.08,287.93,283.08,274.08,558.92,45.35,308.07,"underlying these cryptographic schemes. In response,"
1,0,0,0,0,4,2,AAAAAA+TimesNewRomanPSMT,10.0,306.35,288.36,548.95,298.36,288.36,543.64,306.35,47.05,"or qubits to performcomputations.Unlikeclassicalbits,"
1,1,0,0,0,6,3,DAAAAA+TimesNewRomanPS-BoldMT,9.0,45.35,294.78,288.17,303.78,294.78,538.22,45.35,307.83,aimed at developing resilient cryptographic algorithms
1,0,0,0,0,11,2,AAAAAA+TimesNewRomanPSMT,10.0,306.35,299.29,549.32,309.29,299.29,532.71,306.35,46.68,"which can represent either 0 or 1, qubits can exist in"
1,1,0,0,0,8,3,DAAAAA+TimesNewRomanPS-BoldMT,9.0,45.35,305.13,287.61,314.13,305.13,527.87,45.35,308.39,impervious to quantum attacks. This paper delineates the
1,0,0,0,0,6,2,AAAAAA+TimesNewRomanPSMT,10.0,306.35,310.21,548.94,320.21,310.21,521.79,306.35,47.06,"superposition, representing both 0 and 1simultaneously."
1,1,0,0,0,7,3,DAAAAA+TimesNewRomanPS-BoldMT,9.0,45.35,336.18,287.68,345.18,336.18,496.82,45.35,308.32,introduces various PQC algorithms such as lattice-based
1,1,0,0,0,4,3,DAAAAA+TimesNewRomanPS-BoldMT,9.0,45.35,346.52,288.12,365.87,346.52,476.13,45.35,307.88,"cryptography, code-based cryptography, hash-basedcryptography,andmultivariatepolynomialcryptography."
